         3915 function calls (3905 primitive calls) in 0.006 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:1004(addliteral)
        7    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:176(append)
        8    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       10    0.000    0.000    0.000    0.000 <frozen codecs>:260(__init__)
        8    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:86(opengroup)
        2    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:407(_generate_overlap_table)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:216(_compile_charset)
        4    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:398(_simple)
        6    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:256(match)
        5    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:164(__len__)
        4    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:83(groups)
        6    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\enum.py:1129(__new__)
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:570(isstring)
        2    0.000    0.000    0.000    0.000 c:\Users\dvrch\Desktop\Straightforward-Obsidian2Latex\Straightforward-Obsidian2Latex\src\remove_markdown_comment.py:3(enum)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:953(fix_flags)
        1    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        5    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:31(_combine_flags)
        3    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:113(__init__)
        2    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.template}
        1    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:77(__init__)
        2    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_compiler.py:428(_get_iscased)
        1    0.000    0.000    0.000    0.000 C:\Python312\Lib\re\_parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 c:\Users\dvrch\Desktop\Straightforward-Obsidian2Latex\Straightforward-Obsidian2Latex\src\special_characters.py:1(get_special_characters)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.chr}


